village,location,property_type,road_type,year,price_lakhs
chanapora,natipora old,commercial,front side road,2026,72.43787418624002
chanapora,natipora old,commercial,front side road,2027,78.23290412113923
chanapora,natipora old,commercial,front side road,2028,84.49153645083038
chanapora,natipora old,commercial,front side road,2029,91.2508593668968
chanapora,natipora old,commercial,front side road,2030,98.55092811624856
chanapora,natipora old,commercial,front side road,2031,106.43500236554846
chanapora,rose lane mehjoor nagar,residential,front side road,2021,37.800000000000004
chanapora,rose lane mehjoor nagar,residential,front side road,2022,40.446000000000005
chanapora,rose lane mehjoor nagar,residential,front side road,2023,43.27722
chanapora,rose lane mehjoor nagar,residential,front side road,2024,46.30662540000001
chanapora,rose lane mehjoor nagar,residential,front side road,2025,49.548089178000005
chanapora,rose lane mehjoor nagar,residential,front side road,2026,53.01645542046001
chanapora,rose lane mehjoor nagar,residential,front side road,2027,56.72760729989222
chanapora,rose lane mehjoor nagar,residential,front side road,2028,60.698539810884675
chanapora,rose lane mehjoor nagar,residential,front side road,2029,64.94743759764661
chanapora,rose lane mehjoor nagar,residential,front side road,2030,69.49375822948188
chanapora,rose lane mehjoor nagar,residential,front side road,2031,74.35832130554562
chanapora,rose lane mehjoor nagar,commercial,front side road,2021,49.3
chanapora,rose lane mehjoor nagar,commercial,front side road,2022,53.244
chanapora,rose lane mehjoor nagar,commercial,front side road,2023,57.50352
chanapora,rose lane mehjoor nagar,commercial,front side road,2024,62.103801600000004
chanapora,rose lane mehjoor nagar,commercial,front side road,2025,67.07210572800001
chanapora,rose lane mehjoor nagar,commercial,front side road,2026,72.43787418624002
chanapora,rose lane mehjoor nagar,commercial,front side road,2027,78.23290412113923
chanapora,rose lane mehjoor nagar,commercial,front side road,2028,84.49153645083038
chanapora,rose lane mehjoor nagar,commercial,front side road,2029,91.2508593668968
chanapora,rose lane mehjoor nagar,commercial,front side road,2030,98.55092811624856
chanapora,rose lane mehjoor nagar,commercial,front side road,2031,106.43500236554846
chanapora,zaffron colony,residential,front side road,2021,35.91
chanapora,zaffron colony,residential,front side road,2022,38.423700000000004
chanapora,zaffron colony,residential,front side road,2023,41.113358999999996
chanapora,zaffron colony,residential,front side road,2024,43.99129413000001
chanapora,zaffron colony,residential,front side road,2025,47.0706847191
chanapora,zaffron colony,residential,front side road,2026,50.36563264943701
chanapora,zaffron colony,residential,front side road,2027,53.89122693489761
chanapora,zaffron colony,residential,front side road,2028,57.66361282034044
chanapora,zaffron colony,residential,front side road,2029,61.700065717764275
chanapora,zaffron colony,residential,front side road,2030,66.01907031800779
chanapora,zaffron colony,residential,front side road,2031,70.64040524026834
chanapora,zaffron colony,commercial,front side road,2021,46.834999999999994
chanapora,zaffron colony,commercial,front side road,2022,50.581799999999994
chanapora,zaffron colony,commercial,front side road,2023,54.628344000000006
chanapora,zaffron colony,commercial,front side road,2024,58.998611520000004
chanapora,zaffron colony,commercial,front side road,2025,63.718500441600014
chanapora,zaffron colony,commercial,front side road,2026,68.81598047692802
chanapora,zaffron colony,commercial,front side road,2027,74.32125891508225
chanapora,zaffron colony,commercial,front side road,2028,80.26695962828886
chanapora,zaffron colony,commercial,front side road,2029,86.68831639855196
chanapora,zaffron colony,commercial,front side road,2030,93.62338171043612
chanapora,zaffron colony,commercial,front side road,2031,101.11325224727103
chanapora,rahim bagh,residential,front side road,2021,35.91
chanapora,rahim bagh,residential,front side road,2022,38.423700000000004
chanapora,rahim bagh,residential,front side road,2023,41.113358999999996
chanapora,rahim bagh,residential,front side road,2024,43.99129413000001
chanapora,rahim bagh,residential,front side road,2025,47.0706847191
chanapora,rahim bagh,residential,front side road,2026,50.36563264943701
chanapora,rahim bagh,residential,front side road,2027,53.89122693489761
chanapora,rahim bagh,residential,front side road,2028,57.66361282034044
chanapora,rahim bagh,residential,front side road,2029,61.700065717764275
chanapora,rahim bagh,residential,front side road,2030,66.01907031800779
chanapora,rahim bagh,residential,front side road,2031,70.64040524026834
chanapora,rahim bagh,commercial,front side road,2021,46.834999999999994
chanapora,rahim bagh,commercial,front side road,2022,50.581799999999994
chanapora,rahim bagh,commercial,front side road,2023,54.628344000000006
chanapora,rahim bagh,commercial,front side road,2024,58.998611520000004
chanapora,rahim bagh,commercial,front side road,2025,63.718500441600014
chanapora,rahim bagh,commercial,front side road,2026,68.81598047692802
chanapora,rahim bagh,commercial,front side road,2027,74.32125891508225
chanapora,rahim bagh,commercial,front side road,2028,80.26695962828886
chanapora,rahim bagh,commercial,front side road,2029,86.68831639855196
chanapora,rahim bagh,commercial,front side road,2030,93.62338171043612
chanapora,rahim bagh,commercial,front side road,2031,101.11325224727103
chanapora,iqbal colony b,residential,front side road,2021,35.91
chanapora,iqbal colony b,residential,front side road,2022,38.423700000000004
chanapora,iqbal colony b,residential,front side road,2023,41.113358999999996
chanapora,iqbal colony b,residential,front side road,2024,43.99129413000001
chanapora,iqbal colony b,residential,front side road,2025,47.0706847191
chanapora,iqbal colony b,residential,front side road,2026,50.36563264943701
chanapora,iqbal colony b,residential,front side road,2027,53.89122693489761
chanapora,iqbal colony b,residential,front side road,2028,57.66361282034044
chanapora,iqbal colony b,residential,front side road,2029,61.700065717764275
chanapora,iqbal colony b,residential,front side road,2030,66.01907031800779
chanapora,iqbal colony b,residential,front side road,2031,70.64040524026834
chanapora,iqbal colony b,commercial,front side road,2021,46.834999999999994
chanapora,iqbal colony b,commercial,front side road,2022,50.581799999999994
chanapora,iqbal colony b,commercial,front side road,2023,54.628344000000006
chanapora,iqbal colony b,commercial,front side road,2024,58.998611520000004
chanapora,iqbal colony b,commercial,front side road,2025,63.718500441600014
chanapora,iqbal colony b,commercial,front side road,2026,68.81598047692802
chanapora,iqbal colony b,commercial,front side road,2027,74.32125891508225
chanapora,iqbal colony b,commercial,front side road,2028,80.26695962828886
chanapora,iqbal colony b,commercial,front side road,2029,86.68831639855196
chanapora,iqbal colony b,commercial,front side road,2030,93.62338171043612
chanapora,iqbal colony b,commercial,front side road,2031,101.11325224727103
chanapora,green lane mehjoor nagar,residential,front side road,2021,37.800000000000004
chanapora,green lane mehjoor nagar,residential,front side road,2022,40.446000000000005
chanapora,green lane mehjoor nagar,residential,front side road,2023,43.27722
chanapora,green lane mehjoor nagar,residential,front side road,2024,46.30662540000001
chanapora,green lane mehjoor nagar,residential,front side road,2025,49.548089178000005
chanapora,green lane mehjoor nagar,residential,front side road,2026,53.01645542046001
chanapora,green lane mehjoor nagar,residential,front side road,2027,56.72760729989222
chanapora,green lane mehjoor nagar,residential,front side road,2028,60.698539810884675
chanapora,green lane mehjoor nagar,residential,front side road,2029,64.94743759764661
chanapora,green lane mehjoor nagar,residential,front side road,2030,69.49375822948188
chanapora,green lane mehjoor nagar,residential,front side road,2031,74.35832130554562
chanapora,green lane mehjoor nagar,commercial,front side road,2021,49.3
chanapora,green lane mehjoor nagar,commercial,front side road,2022,53.244
chanapora,green lane mehjoor nagar,commercial,front side road,2023,57.50352
chanapora,green lane mehjoor nagar,commercial,front side road,2024,62.103801600000004
chanapora,green lane mehjoor nagar,commercial,front side road,2025,67.07210572800001
chanapora,green lane mehjoor nagar,commercial,front side road,2026,72.43787418624002
chanapora,green lane mehjoor nagar,commercial,front side road,2027,78.23290412113923
chanapora,green lane mehjoor nagar,commercial,front side road,2028,84.49153645083038
chanapora,green lane mehjoor nagar,commercial,front side road,2029,91.2508593668968
chanapora,green lane mehjoor nagar,commercial,front side road,2030,98.55092811624856
chanapora,green lane mehjoor nagar,commercial,front side road,2031,106.43500236554846
chanapora,main road mehjoor nagar,residential,front side road,2021,41.580000000000005
chanapora,main road mehjoor nagar,residential,front side road,2022,44.490600000000015
chanapora,main road mehjoor nagar,residential,front side road,2023,47.60494200000001
chanapora,main road mehjoor nagar,residential,front side road,2024,50.93728794000001
chanapora,main road mehjoor nagar,residential,front side road,2025,54.502898095800006
chanapora,main road mehjoor nagar,residential,front side road,2026,58.31810096250602
chanapora,main road mehjoor nagar,residential,front side road,2027,62.40036802988145
chanapora,main road mehjoor nagar,residential,front side road,2028,66.76839379197315
chanapora,main road mehjoor nagar,residential,front side road,2029,71.44218135741127
chanapora,main road mehjoor nagar,residential,front side road,2030,76.44313405243007
chanapora,main road mehjoor nagar,residential,front side road,2031,81.79415343610019
chanapora,main road mehjoor nagar,commercial,front side road,2021,56.694999999999986
chanapora,main road mehjoor nagar,commercial,front side road,2022,61.2306
chanapora,main road mehjoor nagar,commercial,front side road,2023,66.129048
chanapora,main road mehjoor nagar,commercial,front side road,2024,71.41937184
chanapora,main road mehjoor nagar,commercial,front side road,2025,77.1329215872
chanapora,main road mehjoor nagar,commercial,front side road,2026,83.30355531417601
chanapora,main road mehjoor nagar,commercial,front side road,2027,89.96783973931011
chanapora,main road mehjoor nagar,commercial,front side road,2028,97.16526691845492
chanapora,main road mehjoor nagar,commercial,front side road,2029,104.93848827193132
chanapora,main road mehjoor nagar,commercial,front side road,2030,113.33356733368583
chanapora,main road mehjoor nagar,commercial,front side road,2031,122.40025272038072
chanapora,bagat lane mehjoor nagar,residential,front side road,2021,37.800000000000004
chanapora,bagat lane mehjoor nagar,residential,front side road,2022,40.446000000000005
chanapora,bagat lane mehjoor nagar,residential,front side road,2023,43.27722
chanapora,bagat lane mehjoor nagar,residential,front side road,2024,46.30662540000001
chanapora,bagat lane mehjoor nagar,residential,front side road,2025,49.548089178000005
chanapora,bagat lane mehjoor nagar,residential,front side road,2026,53.01645542046001
chanapora,bagat lane mehjoor nagar,residential,front side road,2027,56.72760729989222
chanapora,bagat lane mehjoor nagar,residential,front side road,2028,60.698539810884675
chanapora,bagat lane mehjoor nagar,residential,front side road,2029,64.94743759764661
chanapora,bagat lane mehjoor nagar,residential,front side road,2030,69.49375822948188
chanapora,bagat lane mehjoor nagar,residential,front side road,2031,74.35832130554562
chanapora,bagat lane mehjoor nagar,commercial,front side road,2021,49.3
chanapora,bagat lane mehjoor nagar,commercial,front side road,2022,53.244
chanapora,bagat lane mehjoor nagar,commercial,front side road,2023,57.50352
chanapora,bagat lane mehjoor nagar,commercial,front side road,2024,62.103801600000004
chanapora,bagat lane mehjoor nagar,commercial,front side road,2025,67.07210572800001
chanapora,bagat lane mehjoor nagar,commercial,front side road,2026,72.43787418624002
chanapora,bagat lane mehjoor nagar,commercial,front side road,2027,78.23290412113923
chanapora,bagat lane mehjoor nagar,commercial,front side road,2028,84.49153645083038
chanapora,bagat lane mehjoor nagar,commercial,front side road,2029,91.2508593668968
chanapora,bagat lane mehjoor nagar,commercial,front side road,2030,98.55092811624856
chanapora,bagat lane mehjoor nagar,commercial,front side road,2031,106.43500236554846
chanapora,gurudawara lane mehjoor nagar,residential,front side road,2021,37.800000000000004
chanapora,gurudawara lane mehjoor nagar,residential,front side road,2022,40.446000000000005
chanapora,gurudawara lane mehjoor nagar,residential,front side road,2023,43.27722
chanapora,gurudawara lane mehjoor nagar,residential,front side road,2024,46.30662540000001
chanapora,gurudawara lane mehjoor nagar,residential,front side road,2025,49.548089178000005
chanapora,gurudawara lane mehjoor nagar,residential,front side road,2026,53.01645542046001
chanapora,gurudawara lane mehjoor nagar,residential,front side road,2027,56.72760729989222
chanapora,gurudawara lane mehjoor nagar,residential,front side road,2028,60.698539810884675
chanapora,gurudawara lane mehjoor nagar,residential,front side road,2029,64.94743759764661
chanapora,gurudawara lane mehjoor nagar,residential,front side road,2030,69.49375822948188
chanapora,gurudawara lane mehjoor nagar,residential,front side road,2031,74.35832130554562
chanapora,gurudawara lane mehjoor nagar,commercial,front side road,2021,49.3
chanapora,gurudawara lane mehjoor nagar,commercial,front side road,2022,53.244
chanapora,gurudawara lane mehjoor nagar,commercial,front side road,2023,57.50352
chanapora,gurudawara lane mehjoor nagar,commercial,front side road,2024,62.103801600000004
chanapora,gurudawara lane mehjoor nagar,commercial,front side road,2025,67.07210572800001
chanapora,gurudawara lane mehjoor nagar,commercial,front side road,2026,72.43787418624002
chanapora,gurudawara lane mehjoor nagar,commercial,front side road,2027,78.23290412113923
chanapora,gurudawara lane mehjoor nagar,commercial,front side road,2028,84.49153645083038
chanapora,gurudawara lane mehjoor nagar,commercial,front side road,2029,91.2508593668968
chanapora,gurudawara lane mehjoor nagar,commercial,front side road,2030,98.55092811624856
chanapora,gurudawara lane mehjoor nagar,commercial,front side road,2031,106.43500236554846
chanapora,malik lane mehjoor nagar,residential,front side road,2021,37.800000000000004
chanapora,malik lane mehjoor nagar,residential,front side road,2022,40.446000000000005
chanapora,malik lane mehjoor nagar,residential,front side road,2023,43.27722
chanapora,malik lane mehjoor nagar,residential,front side road,2024,46.30662540000001
chanapora,malik lane mehjoor nagar,residential,front side road,2025,49.548089178000005
chanapora,malik lane mehjoor nagar,residential,front side road,2026,53.01645542046001
chanapora,malik lane mehjoor nagar,residential,front side road,2027,56.72760729989222
chanapora,malik lane mehjoor nagar,residential,front side road,2028,60.698539810884675
chanapora,malik lane mehjoor nagar,residential,front side road,2029,64.94743759764661
chanapora,malik lane mehjoor nagar,residential,front side road,2030,69.49375822948188
chanapora,malik lane mehjoor nagar,residential,front side road,2031,74.35832130554562
chanapora,malik lane mehjoor nagar,commercial,front side road,2021,49.3
chanapora,malik lane mehjoor nagar,commercial,front side road,2022,53.244
chanapora,malik lane mehjoor nagar,commercial,front side road,2023,57.50352
chanapora,malik lane mehjoor nagar,commercial,front side road,2024,62.103801600000004
chanapora,malik lane mehjoor nagar,commercial,front side road,2025,67.07210572800001
chanapora,malik lane mehjoor nagar,commercial,front side road,2026,72.43787418624002
chanapora,malik lane mehjoor nagar,commercial,front side road,2027,78.23290412113923
chanapora,malik lane mehjoor nagar,commercial,front side road,2028,84.49153645083038
chanapora,malik lane mehjoor nagar,commercial,front side road,2029,91.2508593668968
chanapora,malik lane mehjoor nagar,commercial,front side road,2030,98.55092811624856
chanapora,malik lane mehjoor nagar,commercial,front side road,2031,106.43500236554846
chanapora,natipora old south,residential,front side road,2021,37.800000000000004
chanapora,natipora old south,residential,front side road,2022,40.446000000000005
chanapora,natipora old south,residential,front side road,2023,43.27722
chanapora,natipora old south,residential,front side road,2024,46.30662540000001
chanapora,natipora old south,residential,front side road,2025,49.548089178000005
chanapora,natipora old south,residential,front side road,2026,53.01645542046001
chanapora,natipora old south,residential,front side road,2027,56.72760729989222
chanapora,natipora old south,residential,front side road,2028,60.698539810884675
chanapora,natipora old south,residential,front side road,2029,64.94743759764661
chanapora,natipora old south,residential,front side road,2030,69.49375822948188
chanapora,natipora old south,residential,front side road,2031,74.35832130554562
chanapora,natipora old south,commercial,front side road,2021,49.3
chanapora,natipora old south,commercial,front side road,2022,53.244
chanapora,natipora old south,commercial,front side road,2023,57.50352
chanapora,natipora old south,commercial,front side road,2024,62.103801600000004
chanapora,natipora old south,commercial,front side road,2025,67.07210572800001
chanapora,natipora old south,commercial,front side road,2026,72.43787418624002
chanapora,natipora old south,commercial,front side road,2027,78.23290412113923
chanapora,natipora old south,commercial,front side road,2028,84.49153645083038
chanapora,natipora old south,commercial,front side road,2029,91.2508593668968
chanapora,natipora old south,commercial,front side road,2030,98.55092811624856
chanapora,natipora old south,commercial,front side road,2031,106.43500236554846
chanapora,chinar colony,residential,front side road,2021,35.91
chanapora,chinar colony,residential,front side road,2022,38.423700000000004
chanapora,chinar colony,residential,front side road,2023,41.113358999999996
chanapora,chinar colony,residential,front side road,2024,43.99129413000001
chanapora,chinar colony,residential,front side road,2025,47.0706847191
chanapora,chinar colony,residential,front side road,2026,50.36563264943701
chanapora,chinar colony,residential,front side road,2027,53.89122693489761
chanapora,chinar colony,residential,front side road,2028,57.66361282034044
chanapora,chinar colony,residential,front side road,2029,61.700065717764275
chanapora,chinar colony,residential,front side road,2030,66.01907031800779
chanapora,chinar colony,residential,front side road,2031,70.64040524026834
chanapora,chinar colony,commercial,front side road,2021,46.834999999999994
chanapora,chinar colony,commercial,front side road,2022,50.581799999999994
chanapora,chinar colony,commercial,front side road,2023,54.628344000000006
chanapora,chinar colony,commercial,front side road,2024,58.998611520000004
chanapora,chinar colony,commercial,front side road,2025,63.718500441600014
chanapora,chinar colony,commercial,front side road,2026,68.81598047692802
chanapora,chinar colony,commercial,front side road,2027,74.32125891508225
chanapora,chinar colony,commercial,front side road,2028,80.26695962828886
chanapora,chinar colony,commercial,front side road,2029,86.68831639855196
chanapora,chinar colony,commercial,front side road,2030,93.62338171043612
chanapora,chinar colony,commercial,front side road,2031,101.11325224727103
chanapora,hafiz abad,residential,front side road,2021,37.800000000000004
chanapora,hafiz abad,residential,front side road,2022,40.446000000000005
chanapora,hafiz abad,residential,front side road,2023,43.27722
chanapora,hafiz abad,residential,front side road,2024,46.30662540000001
chanapora,hafiz abad,residential,front side road,2025,49.548089178000005
chanapora,hafiz abad,residential,front side road,2026,53.01645542046001
chanapora,hafiz abad,residential,front side road,2027,56.72760729989222
chanapora,hafiz abad,residential,front side road,2028,60.698539810884675
chanapora,hafiz abad,residential,front side road,2029,64.94743759764661
chanapora,hafiz abad,residential,front side road,2030,69.49375822948188
chanapora,hafiz abad,residential,front side road,2031,74.35832130554562
chanapora,hafiz abad,commercial,front side road,2021,49.3
chanapora,hafiz abad,commercial,front side road,2022,53.244
chanapora,hafiz abad,commercial,front side road,2023,57.50352
chanapora,hafiz abad,commercial,front side road,2024,62.103801600000004
chanapora,hafiz abad,commercial,front side road,2025,67.07210572800001
chanapora,hafiz abad,commercial,front side road,2026,72.43787418624002
chanapora,hafiz abad,commercial,front side road,2027,78.23290412113923
chanapora,hafiz abad,commercial,front side road,2028,84.49153645083038
chanapora,hafiz abad,commercial,front side road,2029,91.2508593668968
chanapora,hafiz abad,commercial,front side road,2030,98.55092811624856
chanapora,hafiz abad,commercial,front side road,2031,106.43500236554846
chanapora,iqbal colony a & b,residential,front side road,2021,35.91
chanapora,iqbal colony a & b,residential,front side road,2022,38.423700000000004
chanapora,iqbal colony a & b,residential,front side road,2023,41.113358999999996
chanapora,iqbal colony a & b,residential,front side road,2024,43.99129413000001
chanapora,iqbal colony a & b,residential,front side road,2025,47.0706847191
chanapora,iqbal colony a & b,residential,front side road,2026,50.36563264943701
chanapora,iqbal colony a & b,residential,front side road,2027,53.89122693489761
chanapora,iqbal colony a & b,residential,front side road,2028,57.66361282034044
chanapora,iqbal colony a & b,residential,front side road,2029,61.700065717764275
chanapora,iqbal colony a & b,residential,front side road,2030,66.01907031800779
chanapora,iqbal colony a & b,residential,front side road,2031,70.64040524026834
chanapora,iqbal colony a & b,commercial,front side road,2021,46.834999999999994
chanapora,iqbal colony a & b,commercial,front side road,2022,50.581799999999994
chanapora,iqbal colony a & b,commercial,front side road,2023,54.628344000000006
chanapora,iqbal colony a & b,commercial,front side road,2024,58.998611520000004
chanapora,iqbal colony a & b,commercial,front side road,2025,63.718500441600014
chanapora,iqbal colony a & b,commercial,front side road,2026,68.81598047692802
chanapora,iqbal colony a & b,commercial,front side road,2027,74.32125891508225
chanapora,iqbal colony a & b,commercial,front side road,2028,80.26695962828886
chanapora,iqbal colony a & b,commercial,front side road,2029,86.68831639855196
chanapora,iqbal colony a & b,commercial,front side road,2030,93.62338171043612
chanapora,iqbal colony a & b,commercial,front side road,2031,101.11325224727103
chanapora,ghat colony,residential,front side road,2021,35.91
chanapora,ghat colony,residential,front side road,2022,38.423700000000004
chanapora,ghat colony,residential,front side road,2023,41.113358999999996
chanapora,ghat colony,residential,front side road,2024,43.99129413000001
chanapora,ghat colony,residential,front side road,2025,47.0706847191
chanapora,ghat colony,residential,front side road,2026,50.36563264943701
chanapora,ghat colony,residential,front side road,2027,53.89122693489761
chanapora,ghat colony,residential,front side road,2028,57.66361282034044
chanapora,ghat colony,residential,front side road,2029,61.700065717764275
chanapora,ghat colony,residential,front side road,2030,66.01907031800779
chanapora,ghat colony,residential,front side road,2031,70.64040524026834
chanapora,ghat colony,commercial,front side road,2021,46.834999999999994
chanapora,ghat colony,commercial,front side road,2022,50.581799999999994
chanapora,ghat colony,commercial,front side road,2023,54.628344000000006
chanapora,ghat colony,commercial,front side road,2024,58.998611520000004
chanapora,ghat colony,commercial,front side road,2025,63.718500441600014
chanapora,ghat colony,commercial,front side road,2026,68.81598047692802
chanapora,ghat colony,commercial,front side road,2027,74.32125891508225
chanapora,ghat colony,commercial,front side road,2028,80.26695962828886
chanapora,ghat colony,commercial,front side road,2029,86.68831639855196
chanapora,ghat colony,commercial,front side road,2030,93.62338171043612
chanapora,ghat colony,commercial,front side road,2031,101.11325224727103
chanapora,imran colony,residential,front side road,2021,35.91
chanapora,imran colony,residential,front side road,2022,38.423700000000004
chanapora,imran colony,residential,front side road,2023,41.113358999999996
chanapora,imran colony,residential,front side road,2024,43.99129413000001
chanapora,imran colony,residential,front side road,2025,47.0706847191
chanapora,imran colony,residential,front side road,2026,50.36563264943701
chanapora,imran colony,residential,front side road,2027,53.89122693489761
chanapora,imran colony,residential,front side road,2028,57.66361282034044
chanapora,imran colony,residential,front side road,2029,61.700065717764275
chanapora,imran colony,residential,front side road,2030,66.01907031800779
chanapora,imran colony,residential,front side road,2031,70.64040524026834
chanapora,imran colony,commercial,front side road,2021,46.834999999999994
chanapora,imran colony,commercial,front side road,2022,50.581799999999994
chanapora,imran colony,commercial,front side road,2023,54.628344000000006
chanapora,imran colony,commercial,front side road,2024,58.998611520000004
chanapora,imran colony,commercial,front side road,2025,63.718500441600014
chanapora,imran colony,commercial,front side road,2026,68.81598047692802
chanapora,imran colony,commercial,front side road,2027,74.32125891508225
chanapora,imran colony,commercial,front side road,2028,80.26695962828886
chanapora,imran colony,commercial,front side road,2029,86.68831639855196
chanapora,imran colony,commercial,front side road,2030,93.62338171043612
chanapora,imran colony,commercial,front side road,2031,101.11325224727103
chanapora,gulshan abad,residential,front side road,2021,37.800000000000004
chanapora,gulshan abad,residential,front side road,2022,40.446000000000005
chanapora,gulshan abad,residential,front side road,2023,43.27722
chanapora,gulshan abad,residential,front side road,2024,46.30662540000001
chanapora,gulshan abad,residential,front side road,2025,49.548089178000005
chanapora,gulshan abad,residential,front side road,2026,53.01645542046001
chanapora,gulshan abad,residential,front side road,2027,56.72760729989222
chanapora,gulshan abad,residential,front side road,2028,60.698539810884675
chanapora,gulshan abad,residential,front side road,2029,64.94743759764661
chanapora,gulshan abad,residential,front side road,2030,69.49375822948188
chanapora,gulshan abad,residential,front side road,2031,74.35832130554562
chanapora,gulshan abad,commercial,front side road,2021,49.3
chanapora,gulshan abad,commercial,front side road,2022,53.244
chanapora,gulshan abad,commercial,front side road,2023,57.50352
chanapora,gulshan abad,commercial,front side road,2024,62.103801600000004
chanapora,gulshan abad,commercial,front side road,2025,67.07210572800001
chanapora,gulshan abad,commercial,front side road,2026,72.43787418624002
chanapora,gulshan abad,commercial,front side road,2027,78.23290412113923
chanapora,gulshan abad,commercial,front side road,2028,84.49153645083038
chanapora,gulshan abad,commercial,front side road,2029,91.2508593668968
chanapora,gulshan abad,commercial,front side road,2030,98.55092811624856
chanapora,gulshan abad,commercial,front side road,2031,106.43500236554846
chanapora,rose lane colony a,residential,front side road,2021,35.91
chanapora,rose lane colony a,residential,front side road,2022,38.423700000000004
chanapora,rose lane colony a,residential,front side road,2023,41.113358999999996
chanapora,rose lane colony a,residential,front side road,2024,43.99129413000001
chanapora,rose lane colony a,residential,front side road,2025,47.0706847191
chanapora,rose lane colony a,residential,front side road,2026,50.36563264943701
chanapora,rose lane colony a,residential,front side road,2027,53.89122693489761
chanapora,rose lane colony a,residential,front side road,2028,57.66361282034044
chanapora,rose lane colony a,residential,front side road,2029,61.700065717764275
chanapora,rose lane colony a,residential,front side road,2030,66.01907031800779
chanapora,rose lane colony a,residential,front side road,2031,70.64040524026834
chanapora,rose lane colony a,commercial,front side road,2021,46.834999999999994
chanapora,rose lane colony a,commercial,front side road,2022,50.581799999999994
chanapora,rose lane colony a,commercial,front side road,2023,54.628344000000006
chanapora,rose lane colony a,commercial,front side road,2024,58.998611520000004
chanapora,rose lane colony a,commercial,front side road,2025,63.718500441600014
chanapora,rose lane colony a,commercial,front side road,2026,68.81598047692802
chanapora,rose lane colony a,commercial,front side road,2027,74.32125891508225
chanapora,rose lane colony a,commercial,front side road,2028,80.26695962828886
chanapora,rose lane colony a,commercial,front side road,2029,86.68831639855196
chanapora,rose lane colony a,commercial,front side road,2030,93.62338171043612
chanapora,rose lane colony a,commercial,front side road,2031,101.11325224727103
chanapora,stadium colony,residential,front side road,2021,35.91
chanapora,stadium colony,residential,front side road,2022,38.423700000000004
chanapora,stadium colony,residential,front side road,2023,41.113358999999996
chanapora,stadium colony,residential,front side road,2024,43.99129413000001
chanapora,stadium colony,residential,front side road,2025,47.0706847191
chanapora,stadium colony,residential,front side road,2026,50.36563264943701
chanapora,stadium colony,residential,front side road,2027,53.89122693489761
chanapora,stadium colony,residential,front side road,2028,57.66361282034044
chanapora,stadium colony,residential,front side road,2029,61.700065717764275
chanapora,stadium colony,residential,front side road,2030,66.01907031800779
chanapora,stadium colony,residential,front side road,2031,70.64040524026834
chanapora,stadium colony,commercial,front side road,2021,46.834999999999994
chanapora,stadium colony,commercial,front side road,2022,50.581799999999994
chanapora,stadium colony,commercial,front side road,2023,54.628344000000006
chanapora,stadium colony,commercial,front side road,2024,58.998611520000004
chanapora,stadium colony,commercial,front side road,2025,63.718500441600014
chanapora,stadium colony,commercial,front side road,2026,68.81598047692802
chanapora,stadium colony,commercial,front side road,2027,74.32125891508225
chanapora,stadium colony,commercial,front side road,2028,80.26695962828886
chanapora,stadium colony,commercial,front side road,2029,86.68831639855196
chanapora,stadium colony,commercial,front side road,2030,93.62338171043612
chanapora,stadium colony,commercial,front side road,2031,101.11325224727103
chanapora,zaffar colony haranamble,residential,front side road,2021,35.91
chanapora,zaffar colony haranamble,residential,front side road,2022,38.423700000000004
chanapora,zaffar colony haranamble,residential,front side road,2023,41.113358999999996
chanapora,zaffar colony haranamble,residential,front side road,2024,43.99129413000001
chanapora,zaffar colony haranamble,residential,front side road,2025,47.0706847191
chanapora,zaffar colony haranamble,residential,front side road,2026,50.36563264943701
chanapora,zaffar colony haranamble,residential,front side road,2027,53.89122693489761
chanapora,zaffar colony haranamble,residential,front side road,2028,57.66361282034044
chanapora,zaffar colony haranamble,residential,front side road,2029,61.700065717764275
chanapora,zaffar colony haranamble,residential,front side road,2030,66.01907031800779
chanapora,zaffar colony haranamble,residential,front side road,2031,70.64040524026834
chanapora,zaffar colony haranamble,commercial,front side road,2021,46.834999999999994
chanapora,zaffar colony haranamble,commercial,front side road,2022,50.581799999999994
chanapora,zaffar colony haranamble,commercial,front side road,2023,54.628344000000006
chanapora,zaffar colony haranamble,commercial,front side road,2024,58.998611520000004
chanapora,zaffar colony haranamble,commercial,front side road,2025,63.718500441600014
chanapora,zaffar colony haranamble,commercial,front side road,2026,68.81598047692802
chanapora,zaffar colony haranamble,commercial,front side road,2027,74.32125891508225
chanapora,zaffar colony haranamble,commercial,front side road,2028,80.26695962828886
chanapora,zaffar colony haranamble,commercial,front side road,2029,86.68831639855196
chanapora,zaffar colony haranamble,commercial,front side road,2030,93.62338171043612
chanapora,zaffar colony haranamble,commercial,front side road,2031,101.11325224727103
chanapora,irfan colony,residential,front side road,2021,35.91
chanapora,irfan colony,residential,front side road,2022,38.423700000000004
chanapora,irfan colony,residential,front side road,2023,41.113358999999996
chanapora,irfan colony,residential,front side road,2024,43.99129413000001
chanapora,irfan colony,residential,front side road,2025,47.0706847191
chanapora,irfan colony,residential,front side road,2026,50.36563264943701
chanapora,irfan colony,residential,front side road,2027,53.89122693489761
chanapora,irfan colony,residential,front side road,2028,57.66361282034044
chanapora,irfan colony,residential,front side road,2029,61.700065717764275
chanapora,irfan colony,residential,front side road,2030,66.01907031800779
chanapora,irfan colony,residential,front side road,2031,70.64040524026834
chanapora,irfan colony,commercial,front side road,2021,46.834999999999994
